date,state,manufacturer,vehicle_type,vehicle_category,sales_amount,price_range,battery_capacity,charging_time,market_share
2022-02-01,California,Ford,Electric,Truck,3359,55000-65000,98,40.0,0.07
2022-02-01,California,Volkswagen,Electric,SUV,2939,45000-55000,77,35.0,0.06
2022-02-01,California,Hyundai,Electric,SUV,2519,40000-50000,64,30.0,0.05
2022-02-01,California,Kia,Electric,SUV,2204,38000-48000,64,30.0,0.05
2022-02-01,California,Audi,Electric,SUV,1889,65000-75000,95,40.0,0.04
2022-02-01,California,Mercedes,Electric,Sedan,1574,75000-85000,90,35.0,0.03
2022-02-01,New York,Tesla,Electric,Sedan,9344,75000-85000,75,45.0,0.25
2022-02-01,New York,Ford,Electric,Truck,2204,55000-65000,98,40.0,0.06
2022-02-01,New York,Nissan,Electric,Hatchback,1889,35000-45000,40,25.0,0.05
2022-02-01,New York,Hyundai,Electric,SUV,1679,40000-50000,64,30.0,0.04
2022-02-01,New York,BYD,Electric,Sedan,1469,45000-55000,60,35.0,0.04
2022-02-01,New York,Volkswagen,Electric,SUV,1259,45000-55000,77,35.0,0.03
2022-02-01,New York,Kia,Electric,SUV,1154,38000-48000,64,30.0,0.03
2022-02-01,New York,Audi,Electric,SUV,944,65000-75000,95,40.0,0.03
2022-02-01,New York,Mercedes,Electric,Sedan,839,75000-85000,90,35.0,0.02
2022-02-01,New York,Rivian,Electric,Truck,734,70000-80000,135,50.0,0.02
2022-02-01,Texas,Tesla,Electric,SUV,7034,85000-95000,100,60.0,0.22
2022-02-01,Texas,Ford,Electric,Truck,3569,55000-65000,98,40.0,0.11
2022-02-01,Texas,BYD,Electric,Sedan,2414,45000-55000,60,35.0,0.08
2022-02-01,Texas,Nissan,Electric,Hatchback,1889,35000-45000,40,25.0,0.06
2022-02-01,Texas,Hyundai,Electric,SUV,1679,40000-50000,64,30.0,0.05
2022-02-01,Texas,Volkswagen,Electric,SUV,1469,45000-55000,77,35.0,0.05
2022-02-01,Texas,Kia,Electric,SUV,1259,38000-48000,64,30.0,0.04
2022-02-01,Texas,Rivian,Electric,Truck,1154,70000-80000,135,50.0,0.04
2022-02-01,Texas,Chevrolet,Electric,SUV,944,40000-50000,65,30.0,0.03
2022-02-01,Texas,Audi,Electric,SUV,839,65000-75000,95,40.0,0.03
2022-02-01,Florida,Tesla,Electric,Sedan,5879,75000-85000,75,45.0,0.24
2022-02-01,Florida,BYD,Electric,Sedan,2939,45000-55000,60,35.0,0.12
2022-02-01,Florida,Nissan,Electric,Hatchback,1994,35000-45000,40,25.0,0.08
2022-02-01,Florida,Ford,Electric,Truck,1469,55000-65000,98,40.0,0.06
2022-02-01,Florida,Hyundai,Electric,SUV,1259,40000-50000,64,30.0,0.05
2022-02-01,Florida,Volkswagen,Electric,SUV,1049,45000-55000,77,35.0,0.04
2022-02-01,Florida,Kia,Electric,SUV,944,38000-48000,64,30.0,0.04
2022-02-01,Florida,Chevrolet,Electric,SUV,734,40000-50000,65,30.0,0.03
2022-02-01,Florida,Audi,Electric,SUV,629,65000-75000,95,40.0,0.03
2022-02-01,Florida,Mercedes,Electric,Sedan,524,75000-85000,90,35.0,0.02
2022-02-01,Washington,Tesla,Electric,SUV,3569,85000-95000,100,60.0,0.26
2022-02-01,Washington,BYD,Electric,Sedan,1784,45000-55000,60,35.0,0.13
2022-02-01,Washington,Nissan,Electric,Hatchback,1154,35000-45000,40,25.0,0.08
2022-02-01,Washington,Hyundai,Electric,SUV,944,40000-50000,64,30.0,0.07
2022-02-01,Washington,Volkswagen,Electric,SUV,839,45000-55000,77,35.0,0.06
2022-02-01,Washington,Ford,Electric,Truck,734,55000-65000,98,40.0,0.05
2022-02-01,Washington,Kia,Electric,SUV,629,38000-48000,64,30.0,0.05
2022-02-01,Washington,Audi,Electric,SUV,524,65000-75000,95,40.0,0.04
2022-02-01,Washington,Chevrolet,Electric,SUV,419,40000-50000,65,30.0,0.03
2022-02-01,Washington,Rivian,Electric,Truck,314,70000-80000,135,50.0,0.02
2022-02-01,Washington,Mercedes,Electric,Sedan,209,75000-85000,90,35.0,0.02
2022-02-01,Arizona,Tesla,Electric,Sedan,2939,75000-85000,75,45.0,0.25
2022-02-01,Arizona,BYD,Electric,Sedan,1469,45000-55000,60,35.0,0.12
2022-02-01,Arizona,Nissan,Electric,Hatchback,944,35000-45000,40,25.0,0.08
2022-02-01,Arizona,Hyundai,Electric,SUV,734,40000-50000,64,30.0,0.06
2022-02-01,Arizona,Ford,Electric,Truck,629,55000-65000,98,40.0,0.05
2022-02-01,Arizona,Volkswagen,Electric,SUV,524,45000-55000,77,35.0,0.04
2022-02-01,Arizona,Kia,Electric,SUV,419,38000-48000,64,30.0,0.04
2022-02-01,Arizona,Chevrolet,Electric,SUV,314,40000-50000,65,30.0,0.03
2022-02-01,Arizona,Audi,Electric,SUV,209,65000-75000,95,40.0,0.02
2022-02-01,Arizona,Rivian,Electric,Truck,209,70000-80000,135,50.0,0.02
2022-02-01,Arizona,Mercedes,Electric,Sedan,104,75000-85000,90,35.0,0.01
2022-03-01,California,Tesla,Electric,Sedan,13499,75000-85000,75,45.0,0.28
2022-03-01,Tesla,Electric,SUV,8900,0,100,60,0.2,
2022-03-01,California,BYD,Electric,Sedan,7235,45000-55000,60,35.0,0.15
2022-03-01,California,Nissan,Electric,Hatchback,4859,35000-45000,40,25.0,0.1
2022-03-01,California,Ford,Electric,Truck,3455,55000-65000,98,40.0,0.07
2022-03-01,California,Volkswagen,Electric,SUV,3023,45000-55000,77,35.0,0.06
2022-03-01,California,Hyundai,Electric,SUV,2591,40000-50000,64,30.0,0.05
2022-03-01,California,Kia,Electric,SUV,2267,38000-48000,64,30.0,0.05
2022-03-01,California,Audi,Electric,SUV,1943,65000-75000,95,40.0,0.04
2022-03-01,California,Mercedes,Electric,Sedan,1619,75000-85000,90,35.0,0.03
2022-03-01,New York,Tesla,Electric,Sedan,9611,75000-85000,75,45.0,0.25
2022-03-01,New York,Ford,Electric,Truck,2267,55000-65000,98,40.0,0.06
2022-03-01,New York,Nissan,Electric,Hatchback,1943,35000-45000,40,25.0,0.05
2022-03-01,New York,Hyundai,Electric,SUV,1727,40000-50000,64,30.0,0.04
2022-03-01,New York,BYD,Electric,Sedan,1511,45000-55000,60,35.0,0.04
2022-03-01,New York,Volkswagen,Electric,SUV,1295,45000-55000,77,35.0,0.03
2022-03-01,New York,Kia,Electric,SUV,1187,38000-48000,64,30.0,0.03
2022-03-01,New York,Audi,Electric,SUV,971,65000-75000,95,40.0,0.03
2022-03-01,New York,Mercedes,Electric,Sedan,863,75000-85000,90,35.0,0.02
2022-03-01,New York,Rivian,Electric,Truck,755,70000-80000,135,50.0,0.02
2022-03-01,Texas,Tesla,Electric,SUV,7235,85000-95000,100,60.0,0.22
2022-03-01,Texas,Ford,Electric,Truck,3671,55000-65000,98,40.0,0.11
2022-03-01,Texas,BYD,Electric,Sedan,2483,45000-55000,60,35.0,0.08
2022-03-01,Texas,Nissan,Electric,Hatchback,1943,35000-45000,40,25.0,0.06
2022-03-01,Texas,Hyundai,Electric,SUV,1727,40000-50000,64,30.0,0.05
2022-03-01,Texas,Volkswagen,Electric,SUV,1511,45000-55000,77,35.0,0.05
2022-03-01,Texas,Kia,Electric,SUV,1295,38000-48000,64,30.0,0.04
2022-03-01,Texas,Rivian,Electric,Truck,1187,70000-80000,135,50.0,0.04
2022-03-01,Texas,Chevrolet,Electric,SUV,971,40000-50000,65,30.0,0.03
2022-03-01,Texas,Audi,Electric,SUV,863,65000-75000,95,40.0,0.03
2022-03-01,Florida,Tesla,Electric,Sedan,6047,75000-85000,75,45.0,0.24
2022-03-01,Florida,BYD,Electric,Sedan,3023,45000-55000,60,35.0,0.12
2022-03-01,Florida,Nissan,Electric,Hatchback,2051,35000-45000,40,25.0,0.08
2022-03-01,Florida,Ford,Electric,Truck,1511,55000-65000,98,40.0,0.06
2022-03-01,Florida,Hyundai,Electric,SUV,1295,40000-50000,64,30.0,0.05
2022-03-01,Florida,Volkswagen,Electric,SUV,1079,45000-55000,77,35.0,0.04
2022-03-01,Florida,Kia,Electric,SUV,971,38000-48000,64,30.0,0.04
2022-03-01,Florida,Chevrolet,Electric,SUV,755,40000-50000,65,30.0,0.03
2022-03-01,Florida,Audi,Electric,SUV,647,65000-75000,95,40.0,0.03
2022-03-01,Florida,Mercedes,Electric,Sedan,539,75000-85000,90,35.0,0.02
2022-03-01,Washington,Tesla,Electric,SUV,3671,85000-95000,100,60.0,0.26
2022-03-01,Washington,BYD,Electric,Sedan,1835,45000-55000,60,35.0,0.13
2022-03-01,Washington,Nissan,Electric,Hatchback,1187,35000-45000,40,25.0,0.08
2022-03-01,Washington,Hyundai,Electric,SUV,971,40000-50000,64,30.0,0.07
2022-03-01,Washington,Volkswagen,Electric,SUV,863,45000-55000,77,35.0,0.06
2022-03-01,Washington,Ford,Electric,Truck,755,55000-65000,98,40.0,0.05
2022-03-01,Washington,Kia,Electric,SUV,647,38000-48000,64,30.0,0.05
2022-03-01,Washington,Audi,Electric,SUV,539,65000-75000,95,40.0,0.04
2022-03-01,Washington,Chevrolet,Electric,SUV,431,40000-50000,65,30.0,0.03
2022-03-01,Washington,Rivian,Electric,Truck,323,70000-80000,135,50.0,0.02
2022-03-01,Washington,Mercedes,Electric,Sedan,215,75000-85000,90,35.0,0.02
2022-03-01,Arizona,Tesla,Electric,Sedan,3023,75000-85000,75,45.0,0.25
2022-03-01,Arizona,BYD,Electric,Sedan,1511,45000-55000,60,35.0,0.12
2022-03-01,Arizona,Nissan,Electric,Hatchback,971,35000-45000,40,25.0,0.08
2022-03-01,Arizona,Hyundai,Electric,SUV,755,40000-50000,64,30.0,0.06
2022-03-01,Arizona,Ford,Electric,Truck,647,55000-65000,98,40.0,0.05
2022-03-01,Arizona,Volkswagen,Electric,SUV,539,45000-55000,77,35.0,0.04
2022-03-01,Arizona,Kia,Electric,SUV,431,38000-48000,64,30.0,0.04
2022-03-01,Arizona,Chevrolet,Electric,SUV,323,40000-50000,65,30.0,0.03
2022-03-01,Arizona,Audi,Electric,SUV,215,65000-75000,95,40.0,0.02
2022-03-01,Arizona,Rivian,Electric,Truck,215,70000-80000,135,50.0,0.02
2022-03-01,Arizona,Mercedes,Electric,Sedan,107,75000-85000,90,35.0,0.01
2022-04-01,California,Tesla,Electric,Sedan,14503,75000-85000,75,45.0,0.28
2022-04-01,Tesla,Electric,SUV,8900,0,100,60,0.2,
2022-04-01,California,BYD,Electric,Sedan,7774,45000-55000,60,35.0,0.15
2022-04-01,California,Nissan,Electric,Hatchback,5221,35000-45000,40,25.0,0.1
2022-04-01,California,Ford,Electric,Truck,3713,55000-65000,98,40.0,0.07
2022-04-01,California,Volkswagen,Electric,SUV,3248,45000-55000,77,35.0,0.06
2022-04-01,California,Hyundai,Electric,SUV,2784,40000-50000,64,30.0,0.05
2022-04-01,California,Kia,Electric,SUV,2436,38000-48000,64,30.0,0.05
2022-04-01,California,Audi,Electric,SUV,2088,65000-75000,95,40.0,0.04
2022-04-01,California,Mercedes,Electric,Sedan,1740,75000-85000,90,35.0,0.03
2022-04-01,New York,Tesla,Electric,Sedan,10326,75000-85000,75,45.0,0.25
2022-04-01,New York,Ford,Electric,Truck,2436,55000-65000,98,40.0,0.06
2022-04-01,New York,Nissan,Electric,Hatchback,2088,35000-45000,40,25.0,0.05
2022-04-01,New York,Hyundai,Electric,SUV,1856,40000-50000,64,30.0,0.04
2022-04-01,New York,BYD,Electric,Sedan,1624,45000-55000,60,35.0,0.04
2022-04-01,New York,Volkswagen,Electric,SUV,1392,45000-55000,77,35.0,0.03
2022-04-01,New York,Kia,Electric,SUV,1276,38000-48000,64,30.0,0.03
2022-04-01,New York,Audi,Electric,SUV,1044,65000-75000,95,40.0,0.03
2022-04-01,New York,Mercedes,Electric,Sedan,928,75000-85000,90,35.0,0.02
2022-04-01,New York,Rivian,Electric,Truck,812,70000-80000,135,50.0,0.02
2022-04-01,Texas,Tesla,Electric,SUV,7774,85000-95000,100,60.0,0.22
2022-04-01,Texas,Ford,Electric,Truck,3945,55000-65000,98,40.0,0.11
2022-04-01,Texas,BYD,Electric,Sedan,2668,45000-55000,60,35.0,0.08
2022-04-01,Texas,Nissan,Electric,Hatchback,2088,35000-45000,40,25.0,0.06
2022-04-01,Texas,Hyundai,Electric,SUV,1856,40000-50000,64,30.0,0.05
2022-04-01,Texas,Volkswagen,Electric,SUV,1624,45000-55000,77,35.0,0.05
2022-04-01,Texas,Kia,Electric,SUV,1392,38000-48000,64,30.0,0.04
2022-04-01,Texas,Rivian,Electric,Truck,1276,70000-80000,135,50.0,0.04
2022-04-01,Texas,Chevrolet,Electric,SUV,1044,40000-50000,65,30.0,0.03
2022-04-01,Texas,Audi,Electric,SUV,928,65000-75000,95,40.0,0.03
2022-04-01,Florida,Tesla,Electric,Sedan,6497,75000-85000,75,45.0,0.24
2022-04-01,Florida,BYD,Electric,Sedan,3248,45000-55000,60,35.0,0.12
2022-04-01,Florida,Nissan,Electric,Hatchback,2204,35000-45000,40,25.0,0.08
2022-04-01,Florida,Ford,Electric,Truck,1624,55000-65000,98,40.0,0.06
2022-04-01,Florida,Hyundai,Electric,SUV,1392,40000-50000,64,30.0,0.05
2022-04-01,Florida,Volkswagen,Electric,SUV,1160,45000-55000,77,35.0,0.04
2022-04-01,Florida,Kia,Electric,SUV,1044,38000-48000,64,30.0,0.04
2022-04-01,Florida,Chevrolet,Electric,SUV,812,40000-50000,65,30.0,0.03
2022-04-01,Florida,Audi,Electric,SUV,696,65000-75000,95,40.0,0.03
2022-04-01,Florida,Mercedes,Electric,Sedan,580,75000-85000,90,35.0,0.02
2022-04-01,Washington,Tesla,Electric,SUV,3945,85000-95000,100,60.0,0.26
2022-04-01,Washington,BYD,Electric,Sedan,1972,45000-55000,60,35.0,0.13
2022-04-01,Washington,Nissan,Electric,Hatchback,1276,35000-45000,40,25.0,0.08
2022-04-01,Washington,Hyundai,Electric,SUV,1044,40000-50000,64,30.0,0.07
2022-04-01,Washington,Volkswagen,Electric,SUV,928,45000-55000,77,35.0,0.06
2022-04-01,Washington,Ford,Electric,Truck,812,55000-65000,98,40.0,0.05
2022-04-01,Washington,Kia,Electric,SUV,696,38000-48000,64,30.0,0.05
2022-04-01,Washington,Audi,Electric,SUV,580,65000-75000,95,40.0,0.04
2022-04-01,Washington,Chevrolet,Electric,SUV,464,40000-50000,65,30.0,0.03
2022-04-01,Washington,Rivian,Electric,Truck,348,70000-80000,135,50.0,0.02
2022-04-01,Washington,Mercedes,Electric,Sedan,232,75000-85000,90,35.0,0.02
2022-04-01,Arizona,Tesla,Electric,Sedan,3248,75000-85000,75,45.0,0.25
2022-04-01,Arizona,BYD,Electric,Sedan,1624,45000-55000,60,35.0,0.12
2022-04-01,Arizona,Nissan,Electric,Hatchback,1044,35000-45000,40,25.0,0.08
2022-04-01,Arizona,Hyundai,Electric,SUV,812,40000-50000,64,30.0,0.06
2022-04-01,Arizona,Ford,Electric,Truck,696,55000-65000,98,40.0,0.05
2022-04-01,Arizona,Volkswagen,Electric,SUV,580,45000-55000,77,35.0,0.04
2022-04-01,Arizona,Kia,Electric,SUV,464,38000-48000,64,30.0,0.04
2022-04-01,Arizona,Chevrolet,Electric,SUV,348,40000-50000,65,30.0,0.03
2022-04-01,Arizona,Audi,Electric,SUV,232,65000-75000,95,40.0,0.02
2022-04-01,Arizona,Rivian,Electric,Truck,232,70000-80000,135,50.0,0.02
2022-04-01,Arizona,Mercedes,Electric,Sedan,116,75000-85000,90,35.0,0.01
2022-05-01,California,Tesla,Electric,Sedan,14940,75000-85000,75,45.0,0.28
2022-05-01,Tesla,Electric,SUV,8900,0,100,60,0.2,
2022-05-01,California,BYD,Electric,Sedan,8008,45000-55000,60,35.0,0.15
2022-05-01,California,Nissan,Electric,Hatchback,5378,35000-45000,40,25.0,0.1
2022-05-01,California,Ford,Electric,Truck,3824,55000-65000,98,40.0,0.07
2022-05-01,California,Volkswagen,Electric,SUV,3346,45000-55000,77,35.0,0.06
2022-05-01,California,Hyundai,Electric,SUV,2868,40000-50000,64,30.0,0.05
2022-05-01,California,Kia,Electric,SUV,2510,38000-48000,64,30.0,0.05
2022-05-01,California,Audi,Electric,SUV,2151,65000-75000,95,40.0,0.04
2022-05-01,California,Mercedes,Electric,Sedan,1792,75000-85000,90,35.0,0.03
2022-05-01,New York,Tesla,Electric,Sedan,10637,75000-85000,75,45.0,0.25
2022-05-01,New York,Ford,Electric,Truck,2510,55000-65000,98,40.0,0.06
2022-05-01,New York,Nissan,Electric,Hatchback,2151,35000-45000,40,25.0,0.05
2022-05-01,New York,Hyundai,Electric,SUV,1912,40000-50000,64,30.0,0.04
2022-05-01,New York,BYD,Electric,Sedan,1673,45000-55000,60,35.0,0.04
2022-05-01,New York,Volkswagen,Electric,SUV,1434,45000-55000,77,35.0,0.03
2022-05-01,New York,Kia,Electric,SUV,1314,38000-48000,64,30.0,0.03
2022-05-01,New York,Audi,Electric,SUV,1075,65000-75000,95,40.0,0.03
2022-05-01,New York,Mercedes,Electric,Sedan,956,75000-85000,90,35.0,0.02
2022-05-01,New York,Rivian,Electric,Truck,836,70000-80000,135,50.0,0.02
2022-05-01,Texas,Tesla,Electric,SUV,8008,85000-95000,100,60.0,0.22
2022-05-01,Texas,Ford,Electric,Truck,4063,55000-65000,98,40.0,0.11
2022-05-01,Texas,BYD,Electric,Sedan,2749,45000-55000,60,35.0,0.08
2022-05-01,Texas,Nissan,Electric,Hatchback,2151,35000-45000,40,25.0,0.06
2022-05-01,Texas,Hyundai,Electric,SUV,1912,40000-50000,64,30.0,0.05
2022-05-01,Texas,Volkswagen,Electric,SUV,1673,45000-55000,77,35.0,0.05
2022-05-01,Texas,Kia,Electric,SUV,1434,38000-48000,64,30.0,0.04
2022-05-01,Texas,Rivian,Electric,Truck,1314,70000-80000,135,50.0,0.04
2022-05-01,Texas,Chevrolet,Electric,SUV,1075,40000-50000,65,30.0,0.03
2022-05-01,Texas,Audi,Electric,SUV,956,65000-75000,95,40.0,0.03
2022-05-01,Florida,Tesla,Electric,Sedan,6693,75000-85000,75,45.0,0.24
2022-05-01,Florida,BYD,Electric,Sedan,3346,45000-55000,60,35.0,0.12
2022-05-01,Florida,Nissan,Electric,Hatchback,2270,35000-45000,40,25.0,0.08
2022-05-01,Florida,Ford,Electric,Truck,1673,55000-65000,98,40.0,0.06
2022-05-01,Florida,Hyundai,Electric,SUV,1434,40000-50000,64,30.0,0.05
2022-05-01,Florida,Volkswagen,Electric,SUV,1195,45000-55000,77,35.0,0.04
2022-05-01,Florida,Kia,Electric,SUV,1075,38000-48000,64,30.0,0.04
2022-05-01,Florida,Chevrolet,Electric,SUV,836,40000-50000,65,30.0,0.03
2022-05-01,Florida,Audi,Electric,SUV,717,65000-75000,95,40.0,0.03
2022-05-01,Florida,Mercedes,Electric,Sedan,597,75000-85000,90,35.0,0.02
2022-05-01,Washington,Tesla,Electric,SUV,4063,85000-95000,100,60.0,0.26
2022-05-01,Washington,BYD,Electric,Sedan,2031,45000-55000,60,35.0,0.13
2022-05-01,Washington,Nissan,Electric,Hatchback,1314,35000-45000,40,25.0,0.08
2022-05-01,Washington,Hyundai,Electric,SUV,1075,40000-50000,64,30.0,0.07
2022-05-01,Washington,Volkswagen,Electric,SUV,956,45000-55000,77,35.0,0.06
2022-05-01,Washington,Ford,Electric,Truck,836,55000-65000,98,40.0,0.05
2022-05-01,Washington,Kia,Electric,SUV,717,38000-48000,64,30.0,0.05
2022-05-01,Washington,Audi,Electric,SUV,597,65000-75000,95,40.0,0.04
2022-05-01,Washington,Chevrolet,Electric,SUV,478,40000-50000,65,30.0,0.03
2022-05-01,Washington,Rivian,Electric,Truck,358,70000-80000,135,50.0,0.02
2022-05-01,Washington,Mercedes,Electric,Sedan,239,75000-85000,90,35.0,0.02
2022-05-01,Arizona,Tesla,Electric,Sedan,3346,75000-85000,75,45.0,0.25
2022-05-01,Arizona,BYD,Electric,Sedan,1673,45000-55000,60,35.0,0.12
2022-05-01,Arizona,Nissan,Electric,Hatchback,1075,35000-45000,40,25.0,0.08
2022-05-01,Arizona,Hyundai,Electric,SUV,836,40000-50000,64,30.0,0.06
2022-05-01,Arizona,Ford,Electric,Truck,717,55000-65000,98,40.0,0.05
2022-05-01,Arizona,Volkswagen,Electric,SUV,597,45000-55000,77,35.0,0.04
2022-05-01,Arizona,Kia,Electric,SUV,478,38000-48000,64,30.0,0.04
2022-05-01,Arizona,Chevrolet,Electric,SUV,358,40000-50000,65,30.0,0.03
2022-05-01,Arizona,Audi,Electric,SUV,239,65000-75000,95,40.0,0.02
2022-05-01,Arizona,Rivian,Electric,Truck,239,70000-80000,135,50.0,0.02
2022-05-01,Arizona,Mercedes,Electric,Sedan,119,75000-85000,90,35.0,0.01
2022-06-01,California,Tesla,Electric,Sedan,15122,75000-85000,75,45.0,0.28
2022-06-01,Tesla,Electric,SUV,8900,0,100,60,0.2,
2022-06-01,California,BYD,Electric,Sedan,8105,45000-55000,60,35.0,0.15
2022-06-01,California,Nissan,Electric,Hatchback,5444,35000-45000,40,25.0,0.1
2022-06-01,California,Ford,Electric,Truck,3871,55000-65000,98,40.0,0.07
2022-06-01,California,Volkswagen,Electric,SUV,3387,45000-55000,77,35.0,0.06
2022-06-01,California,Hyundai,Electric,SUV,2903,40000-50000,64,30.0,0.05
2022-06-01,California,Kia,Electric,SUV,2540,38000-48000,64,30.0,0.05
2022-06-01,California,Audi,Electric,SUV,2177,65000-75000,95,40.0,0.04
2022-06-01,California,Mercedes,Electric,Sedan,1814,75000-85000,90,35.0,0.03
2022-06-01,New York,Tesla,Electric,Sedan,10767,75000-85000,75,45.0,0.25
2022-06-01,New York,Ford,Electric,Truck,2540,55000-65000,98,40.0,0.06
2022-06-01,New York,Nissan,Electric,Hatchback,2177,35000-45000,40,25.0,0.05
2022-06-01,New York,Hyundai,Electric,SUV,1935,40000-50000,64,30.0,0.04
2022-06-01,New York,BYD,Electric,Sedan,1693,45000-55000,60,35.0,0.04
